frame,timestamp,u,v,x,y
0,0.0,819,278,1.9471632242202759,-0.4850066900253296
1,0.041646234676007005,803,252,1.7760655879974365,-0.760271430015564
2,0.08329246935201401,790,229,1.6369397640228271,-1.0037307739257812
3,0.12493870402802101,774,203,1.4656494855880737,-1.2789156436920166
4,0.16658493870402802,759,181,1.3050273656845093,-1.5117380619049072
5,0.20823117338003502,742,157,1.1229327917099,-1.7656736373901367
6,0.24987740805604203,727,137,0.9622299671173096,-1.9772443771362305
7,0.291523642732049,712,119,0.8015243411064148,-2.1676383018493652
8,0.33316987740805604,698,101,0.6514797806739807,-2.357966184616089
9,0.374816112084063,683,85,0.49075156450271606,-2.5271553993225098
10,0.41646234676007005,668,71,0.33003443479537964,-2.6752004623413086
11,0.458108581436077,654,59,0.18002888560295105,-2.802095890045166
12,0.49975481611208405,638,47,0.008598516695201397,-2.9290075302124023
13,0.5414010507880911,626,37,-0.12000879645347595,-3.034730911254883
14,0.583047285464098,612,31,-0.2699766159057617,-3.098273754119873
15,0.624693520140105,597,24,-0.43069279193878174,-3.1723756790161133
16,0.6663397548161121,583,20,-0.5806816816329956,-3.214798927307129
17,0.7079859894921191,570,18,-0.7199568748474121,-3.2360944747924805
18,0.749632224168126,557,15,-0.8592705726623535,-3.2679367065429688
19,0.7912784588441331,543,16,-1.0092732906341553,-3.2575669288635254
20,0.8329246935201401,529,18,-1.1592977046966553,-3.236626148223877
21,0.8745709281961471,516,21,-1.2986249923706055,-3.205101490020752
22,0.916217162872154,503,24,-1.4379836320877075,-3.17356014251709
23,0.9578633975481611,488,31,-1.5987896919250488,-3.0997753143310547
24,0.9995096322241681,477,37,-1.716738224029541,-3.0364904403686523
25,1.041155866900175,462,47,-1.8776094913482666,-2.9309499263763428
26,1.0828021015761822,448,58,-2.027796506881714,-2.8147904872894287
27,1.124448336252189,435,71,-2.1672911643981934,-2.6774380207061768
28,1.166094570928196,423,83,-2.2960991859436035,-2.550603151321411
29,1.2077408056042032,410,97,-2.4356861114501953,-2.4025707244873047
30,1.24938704028021,396,113,-2.5860655307769775,-2.233320713043213
31,1.2910332749562172,381,133,-2.747256278991699,-2.0216643810272217
32,1.3326795096322241,370,151,-2.8655200004577637,-1.8310983180999756
33,1.374325744308231,357,171,-3.0053372383117676,-1.6192710399627686
