frame,timestamp,u,v,x,y
91,3.7916666666666665,834,306,2.1074936389923096,-0.18857336044311523
92,3.8333333333333335,823,285,1.9899249076843262,-0.41089725494384766
93,3.875,808,263,1.8295819759368896,-0.6438384056091309
94,3.9166666666666665,797,243,1.711885690689087,-0.8555552959442139
95,3.9583333333333335,784,224,1.5727903842926025,-1.056700587272644
96,4.0,773,208,1.4550493955612183,-1.2260671854019165
97,4.041666666666667,760,193,1.3159176111221313,-1.3848729133605957
98,4.083333333333333,748,178,1.1874301433563232,-1.54364013671875
99,4.125,735,166,1.0482710599899292,-1.6706947088241577
100,4.166666666666667,724,157,0.9305140972137451,-1.765995979309082
101,4.208333333333333,712,147,0.8020232915878296,-1.8718689680099487
102,4.25,699,139,0.6628445386886597,-1.9566137790679932
103,4.291666666666667,689,131,0.5557350516319275,-2.0412967205047607
104,4.333333333333333,676,129,0.41660213470458984,-2.0626323223114014
105,4.375,665,125,0.29881492257118225,-2.1050567626953125
106,4.416666666666667,653,125,0.17035794258117676,-2.1052279472351074
107,4.458333333333333,642,124,0.052567508071660995,-2.1159400939941406
108,4.5,630,126,-0.07591955363750458,-2.0949549674987793
109,4.541666666666667,619,128,-0.19372466206550598,-2.0739431381225586
110,4.583333333333333,607,134,-0.3222324848175049,-2.0106489658355713
111,4.625,596,138,-0.44007664918899536,-1.9684619903564453
112,4.666666666666667,583,147,-0.5793536901473999,-1.8734018802642822
113,4.708333333333333,572,156,-0.6972337365150452,-1.7782877683639526
114,4.75,560,166,-0.8258706331253052,-1.6725608110427856
115,4.791666666666667,548,179,-0.9545415639877319,-1.5350427627563477
116,4.833333333333333,537,192,-1.072529911994934,-1.3974635601043701
117,4.875,524,209,-1.2120215892791748,-1.2174715995788574
118,4.916666666666667,515,224,-1.3086299896240234,-1.0585905313491821
119,4.958333333333333,503,242,-1.437481164932251,-0.8678573369979858
120,5.0,492,262,-1.5556461811065674,-0.6558530926704407
121,5.041666666666667,480,280,-1.6845792531967163,-0.4649721384048462
122,5.083333333333333,468,303,-1.8135747909545898,-0.22100186347961426
123,5.125,457,329,-1.9318867921829224,0.05486733466386795
