frame,timestamp,u,v,x,y
16,0.6663397548161121,812,267,1.8723266124725342,-0.601470410823822
15,0.624693520140105,831,299,2.0754241943359375,-0.26267579197883606
17,0.7079859894921191,800,244,1.7439289093017578,-0.8449353575706482
18,0.749632224168126,783,218,1.5620179176330566,-1.1201660633087158
19,0.7912784588441331,767,191,1.3906710147857666,-1.405895471572876
20,0.8329246935201401,751,168,1.2193138599395752,-1.64927339553833
21,0.8745709281961471,735,146,1.047912836074829,-1.8820209503173828
22,0.916217162872154,721,124,0.897842526435852,-2.1146633625030518
23,0.9578633975481611,706,105,0.7371038794517517,-2.3155815601348877
24,0.9995096322241681,691,89,0.5763916969299316,-2.48478102684021
25,1.041155866900175,676,72,0.4156339466571808,-2.6644983291625977
26,1.0828021015761822,661,60,0.2549442648887634,-2.7914164066314697
27,1.124448336252189,644,45,0.0727744996547699,-2.950005531311035
28,1.166094570928196,631,35,-0.06652603298425674,-3.0557477474212646
29,1.2077408056042032,617,26,-0.2165321409702301,-3.150946617126465
30,1.24938704028021,603,19,-0.3665277361869812,-3.22503662109375
31,1.2910332749562172,588,12,-0.5272561311721802,-3.2991371154785156
32,1.3326795096322241,576,8,-0.6558347940444946,-3.341531276702881
33,1.374325744308231,560,5,-0.8272695541381836,-3.3734288215637207
34,1.4159719789842382,549,4,-0.9451380372047424,-3.3841402530670166
35,1.4576182136602451,533,4,-1.1165980100631714,-3.3843588829040527
36,1.499264448336252,519,6,-1.2666354179382324,-3.363426446914673
37,1.5409106830122592,506,7,-1.4059972763061523,-3.353025197982788
38,1.5825569176882661,492,14,-1.55604887008667,-3.279268741607666
39,1.6242031523642733,480,19,-1.6847093105316162,-3.226585865020752
40,1.6658493870402802,465,27,-1.84556245803833,-3.1422200202941895
41,1.707495621716287,453,36,-1.9742628335952759,-3.047231674194336
42,1.7491418563922942,437,45,-2.145937919616699,-2.9522337913513184
43,1.7907880910683012,424,60,-2.285431385040283,-2.7937583923339844
44,1.832434325744308,412,70,-2.414255142211914,-2.6880829334259033
45,1.8740805604203152,395,89,-2.5968120098114014,-2.487196683883667
46,1.9157267950963222,384,101,-2.7149834632873535,-2.3602685928344727
47,1.9573730297723293,370,121,-2.865441083908081,-2.148639678955078
48,1.9990192644483362,356,140,-3.0159637928009033,-1.947502613067627
49,2.0406654991243434,344,161,-3.145054340362549,-1.7251100540161133
