frame,timestamp,u,v,x,y
222,9.259978425026969,829,296,2.0540573596954346,-0.29444050788879395
223,9.301690039554117,805,261,1.797532558441162,-0.6650352478027344
224,9.343401654081266,785,229,1.5835450887680054,-1.0038061141967773
225,9.385113268608414,766,200,1.3801391124725342,-1.3107670545578003
226,9.426824883135563,746,174,1.165986180305481,-1.5859527587890625
227,9.468536497662711,728,146,0.973085880279541,-1.8821508884429932
228,9.51024811218986,707,122,0.7481139898300171,-2.1360490322113037
229,9.551959726717008,692,99,0.587273120880127,-2.3791942596435547
230,9.593671341244157,671,79,0.3622734546661377,-2.5907084941864014
231,9.635382955771306,654,57,0.17999349534511566,-2.8232014179229736
232,9.677094570298454,636,40,-0.012926723808050156,-3.0029044151306152
233,9.718806184825603,618,24,-0.2058613896369934,-3.1720309257507324
234,9.76051779935275,602,8,-0.3774167597293854,-3.3411083221435547
252,10.511326860841423,310,1,-3.5111470222473145,-3.4184088706970215
253,10.553038475368572,294,10,-3.6832680702209473,-3.323352336883545
254,10.59475008989572,279,25,-3.8446431159973145,-3.164763927459717
255,10.636461704422869,264,43,-4.006076335906982,-2.9743640422821045
256,10.678173318950018,249,60,-4.167599201202393,-2.794477939605713
257,10.719884933477166,233,79,-4.339979648590088,-2.593346118927002
258,10.761596548004315,218,98,-4.501674652099609,-2.392129898071289
259,10.803308162531463,202,120,-4.674252033233643,-2.1590445041656494
260,10.845019777058612,187,146,-4.836162567138672,-1.8834609985351562
263,10.970154620640058,137,224,-5.3766279220581055,-1.0558881759643555
264,11.011866235167206,126,249,-5.495782852172852,-0.7904435396194458
265,11.053577849694355,111,273,-5.658228397369385,-0.5354474186897278
266,11.095289464221503,95,309,-5.831765174865723,-0.15285839140415192
