frame,timestamp,u,v,x,y
16,0.7128287707997852,827,293,2.032688617706299,-0.3262053430080414
17,0.7573805689747719,818,278,1.9364914894104004,-0.4850180745124817
18,0.8019323671497585,807,263,1.8189074993133545,-0.6438509821891785
19,0.846484165324745,799,251,1.7333483695983887,-0.7709037065505981
20,0.8910359634997316,791,240,1.647778034210205,-0.8873728513717651
21,0.9355877616747181,782,232,1.5515482425689697,-0.9721205234527588
22,0.9801395598497048,772,226,1.4446417093276978,-1.0357282161712646
23,1.0246913580246912,763,220,1.3483946323394775,-1.0993207693099976
24,1.069243156199678,756,216,1.273531198501587,-1.141729712486267
25,1.1137949543746646,746,215,1.166629433631897,-1.1524505615234375
26,1.1583467525496511,739,213,1.0917643308639526,-1.1737034320831299
27,1.2028985507246377,729,214,0.9848442077636719,-1.1632609367370605
28,1.2474503488996243,719,216,0.8779079914093018,-1.142230749130249
29,1.2920021470746108,712,219,0.8030539751052856,-1.1105742454528809
30,1.3365539452495974,702,224,0.6960992217063904,-1.0577771663665771
31,1.381105743424584,693,230,0.5998255014419556,-0.9943670034408569
32,1.4256575415995705,686,238,0.5249541401863098,-0.9097464084625244
33,1.4702093397745573,678,250,0.4393784701824188,-0.7827538251876831
34,1.5147611379495438,668,260,0.3323291540145874,-0.676912784576416
35,1.5593129361245304,660,272,0.24667856097221375,-0.5498371720314026
36,1.603864734299517,651,289,0.1502913534641266,-0.36973944306373596
37,1.6484165324745035,642,303,0.05384936183691025,-0.22137680649757385
38,1.69296833064949,635,321,-0.021185923367738724,-0.03055991232395172
39,1.7375201288244766,624,340,-0.1391592174768448,0.1709190160036087
