frame,timestamp,u,v,x,y
11,0.4583333333333333,828,302,2.0434439182281494,-0.23095721006393433
12,0.5,808,275,1.829723834991455,-0.5168743133544922
13,0.5416666666666666,789,253,1.6265935897827148,-0.7498765587806702
14,0.5833333333333334,769,230,1.412646770477295,-0.9934614896774292
15,0.625,748,208,1.1879082918167114,-1.2264569997787476
16,0.6666666666666666,728,186,0.9737539887428284,-1.4593963623046875
17,0.7083333333333334,708,166,0.7595465183258057,-1.6711387634277344
18,0.75,688,149,0.5453155636787415,-1.8511215448379517
19,0.7916666666666666,667,135,0.3203660547733307,-1.9993726015090942
20,0.8333333333333334,650,121,0.13818523287773132,-2.147529125213623
21,0.875,630,107,-0.07615093886852264,-2.295689344406128
22,0.9166666666666666,612,96,-0.26906734704971313,-2.4121015071868896
23,0.9583333333333334,592,88,-0.4834086298942566,-2.496826171875
24,1.0,574,79,-0.6763705015182495,-2.592069149017334
25,1.0416666666666667,554,70,-0.8907995223999023,-2.687314033508301
26,1.0833333333333333,537,67,-1.0730565786361694,-2.7191479206085205
27,1.125,520,64,-1.2553497552871704,-2.7509689331054688
28,1.1666666666666667,503,63,-1.4376657009124756,-2.7616519927978516
29,1.2083333333333333,484,63,-1.6414713859558105,-2.761768102645874
30,1.25,468,62,-1.8131425380706787,-2.772420644760132
31,1.2916666666666667,447,63,-2.0385069847106934,-2.7619519233703613
32,1.3333333333333333,431,68,-2.21024489402771,-2.70916485786438
33,1.375,413,72,-2.403510093688965,-2.66693377494812
34,1.4166666666666667,394,79,-2.607570171356201,-2.5929596424102783
35,1.4583333333333333,381,86,-2.7472281455993652,-2.5189454555511475
36,1.5,361,96,-2.9621591567993164,-2.413173198699951
37,1.5416666666666667,342,108,-3.166426181793213,-2.286189556121826
38,1.5833333333333333,326,120,-3.3385109901428223,-2.1591577529907227
39,1.625,307,133,-3.5429458618164062,-2.0214853286743164
