frame,timestamp,u,v,x,y
54,2.248896672504378,837,309,2.1395232677459717,-0.15679995715618134
55,2.2905429071803853,824,290,2.000647783279419,-0.35798051953315735
56,2.332189141856392,805,259,1.797507405281067,-0.6861938834190369
57,2.373835376532399,792,232,1.6583406925201416,-0.9719727039337158
58,2.4154816112084063,777,207,1.4977591037750244,-1.236574649810791
59,2.457127845884413,761,182,1.3264135122299194,-1.5011329650878906
60,2.49877408056042,745,159,1.1550312042236328,-1.744485855102539
61,2.5404203152364273,726,136,0.9515211582183838,-1.9878262281417847
62,2.5820665499124344,712,115,0.8014489412307739,-2.2098782062530518
63,2.623712784588441,696,98,0.6300346851348877,-2.389676570892334
64,2.6653590192644483,682,81,0.47998106479644775,-2.5693953037261963
65,2.7070052539404554,668,67,0.3299616575241089,-2.7174158096313477
66,2.748651488616462,651,52,0.14780385792255402,-2.8760173320770264
67,2.7902977232924693,638,40,0.008477441035211086,-3.002869129180908
68,2.8319439579684764,623,31,-0.1522217094898224,-3.0980896949768066
69,2.873590192644483,611,22,-0.28082960844039917,-3.193251132965088
70,2.9152364273204903,595,16,-0.45223432779312134,-3.2568202018737793
71,2.9568826619964974,580,9,-0.6129782199859619,-3.3309178352355957
72,2.998528896672504,566,4,-0.7630085945129395,-3.38389253616333
73,3.0401751313485113,555,4,-0.8808515667915344,-3.384054660797119
74,3.0818213660245184,541,2,-1.030889868736267,-3.405360221862793
75,3.123467600700525,527,2,-1.1809320449829102,-3.405548572540283
76,3.1651138353765322,511,3,-1.3524364233016968,-3.395195245742798
77,3.2067600700525394,494,5,-1.5346972942352295,-3.3742804527282715
78,3.2484063047285465,484,10,-1.6418927907943726,-3.3215925693511963
79,3.2900525394045532,470,18,-1.7919952869415283,-3.237241744995117
80,3.3316987740805604,455,25,-1.9528825283050537,-3.1634297370910645
81,3.3733450087565675,443,36,-2.081589460372925,-3.0473005771636963
82,3.414991243432574,428,46,-2.242551565170288,-2.941716194152832
83,3.4566374781085814,416,60,-2.3713340759277344,-2.793790817260742
84,3.4982837127845885,403,74,-2.5109057426452637,-2.645813465118408
85,3.539929947460595,389,87,-2.6612725257873535,-2.508357524871826
86,3.5815761821366023,377,102,-2.7901999950408936,-2.34968900680542
87,3.6232224168126095,362,121,-2.9514245986938477,-2.1486270427703857
88,3.664868651488616,350,142,-3.080472707748413,-1.9263110160827637
89,3.7065148861646233,333,163,-3.26335072517395,-1.7038804292678833
