frame,timestamp,u,v,x,y
189,7.875,836,308,2.128847122192383,-0.16739101707935333
190,7.916666666666667,823,286,1.9899355173110962,-0.4003162086009979
191,7.958333333333333,809,263,1.8402560949325562,-0.6438258290290833
192,8.0,797,243,1.711885690689087,-0.8555552959442139
193,8.041666666666666,783,224,1.562110424041748,-1.056715965270996
194,8.083333333333334,772,207,1.444351077079773,-1.236656904220581
195,8.125,759,192,1.305215835571289,-1.3954614400863647
196,8.166666666666666,744,175,1.144627571105957,-1.5754183530807495
197,8.208333333333334,732,163,1.0161484479904175,-1.7024513483047485
198,8.25,720,152,0.8876582384109497,-1.8188998699188232
199,8.291666666666666,708,142,0.7591594457626343,-1.9247658252716064
200,8.333333333333334,695,134,0.6199730634689331,-2.009504556655884
201,8.375,685,129,0.5129064321517944,-2.062490224838257
202,8.416666666666666,672,124,0.3737190365791321,-2.1155154705047607
203,8.458333333333334,660,120,0.24522307515144348,-2.1579513549804688
204,8.5,645,117,0.08459839969873428,-2.189854860305786
205,8.541666666666666,634,118,-0.03317652642726898,-2.179434061050415
206,8.583333333333334,624,121,-0.14024201035499573,-2.147857666015625
207,8.625,612,122,-0.2687782347202301,-2.137422561645508
208,8.666666666666666,600,125,-0.3973226845264435,-2.105837345123291
209,8.708333333333334,589,133,-0.515139639377594,-2.021373748779297
210,8.75,577,139,-0.6437261700630188,-1.9580292701721191
211,8.791666666666666,564,147,-0.7830590009689331,-1.8735125064849854
212,8.833333333333334,552,158,-0.911698043346405,-1.7572206258773804
213,8.875,541,169,-1.0296530723571777,-1.6408771276474
214,8.916666666666666,528,184,-1.1690999269485474,-1.482153058052063
215,8.958333333333334,517,197,-1.2871350049972534,-1.3445327281951904
216,9.0,506,214,-1.405212640762329,-1.1644965410232544
217,9.041666666666666,493,231,-1.5448025465011597,-0.9843805432319641
218,9.083333333333334,482,249,-1.6629664897918701,-0.793602466583252
219,9.125,470,271,-1.7919247150421143,-0.560344934463501
220,9.166666666666666,457,291,-1.9316542148590088,-0.3482048213481903
221,9.208333333333334,446,314,-2.049956798553467,-0.10418881475925446
