frame,timestamp,u,v,x,y
7,0.25112994350282486,827,234,-0.930049479007721,-2.871429681777954
8,0.28700564971751413,799,250,-1.127724051475525,-2.7207279205322266
9,0.3228813559322034,774,266,-1.3042103052139282,-2.5700526237487793
10,0.3587570621468927,749,282,-1.480692982673645,-2.419400930404663
11,0.3946327683615819,725,297,-1.6501160860061646,-2.2781834602355957
12,0.43050847457627117,704,313,-1.7983564138412476,-2.1275596618652344
13,0.46638418079096045,687,327,-1.9183598756790161,-1.995772123336792
14,0.5022598870056497,667,342,-2.059546947479248,-1.8545825481414795
15,0.538135593220339,653,357,-2.1583714485168457,-1.7133910655975342
16,0.5740112994350283,641,373,-2.243074893951416,-1.5627894401550293
17,0.6098870056497175,627,388,-2.341907024383545,-1.4216092824935913
18,0.6457627118644068,617,401,-2.4125006198883057,-1.2992534637451172
19,0.6816384180790961,609,415,-2.468972682952881,-1.1674848794937134
20,0.7175141242937854,602,430,-2.518385410308838,-1.0263056755065918
21,0.7533898305084745,596,445,-2.5607399940490723,-0.8851278424263
22,0.7892655367231638,593,460,-2.5819132328033447,-0.7439500093460083
23,0.8251412429378531,591,474,-2.5960285663604736,-0.6121853590011597
24,0.8610169491525423,590,490,-2.603085517883301,-0.46159836649894714
25,0.8968926553672316,591,505,-2.5960233211517334,-0.32042402029037476
26,0.9327683615819209,594,517,-2.574841022491455,-0.20748554170131683
27,0.9686440677966102,598,532,-2.5466020107269287,-0.06631328165531158
28,1.0045197740112994,604,547,-2.504244804382324,0.07485785335302353
29,1.0403954802259887,611,562,-2.4548306465148926,0.21602857112884521
30,1.076271186440678,621,575,-2.38423752784729,0.33837437629699707
31,1.1121468926553673,630,589,-2.320708751678467,0.4701334834098816
32,1.1480225988700565,643,603,-2.2289435863494873,0.6018911600112915
33,1.1838983050847458,658,617,-2.1230621337890625,0.7336494326591492
34,1.219774011299435,673,631,-2.017183542251587,0.8654106855392456
35,1.2556497175141244,729,676,-1.6219035387039185,1.2889515161514282
36,1.2915254237288136,749,694,-1.480730652809143,1.4583837985992432
37,1.327401129943503,770,709,-1.3324936628341675,1.599583625793457
38,1.3632768361581922,794,722,-1.163074016571045,1.7219626903533936
39,1.3991525423728814,823,737,-0.958351731300354,1.863180160522461
40,1.4350282485875707,851,756,-0.7606794834136963,2.0420737266540527
41,1.4709039548022598,877,770,-0.5771174430847168,2.1739068031311035
42,1.506779661016949,908,786,-0.35824161767959595,2.3245956897735596
43,1.5426553672316383,939,802,-0.13934752345085144,2.4753146171569824
