frame,timestamp,u,v,x,y
1,0.036770833333333336,829,231,-0.9159317016601562,-2.899693012237549
2,0.07354166666666667,791,252,-1.184205174446106,-2.7018978595733643
3,0.1103125,750,270,-1.4736567735671997,-2.532413959503174
4,0.14708333333333334,714,287,-1.7278088331222534,-2.372373104095459
5,0.18385416666666665,681,306,-1.9607797861099243,-2.193516254425049
6,0.220625,649,323,-2.186708450317383,-2.03351092338562
7,0.2573958333333333,617,340,-2.412658452987671,-1.8735209703445435
8,0.2941666666666667,591,356,-2.596257448196411,-1.722941517829895
9,0.3309375,565,373,-2.779878854751587,-1.5629539489746094
10,0.3677083333333333,541,388,-2.949408769607544,-1.4217960834503174
11,0.40447916666666667,521,404,-3.090696334838867,-1.2712119817733765
12,0.44125,501,420,-3.2320148944854736,-1.120627522468567
13,0.47802083333333334,480,436,-3.380441665649414,-0.9700425267219543
14,0.5147916666666666,466,450,-3.479407787322998,-0.8382638096809387
15,0.5515625,450,465,-3.5925464630126953,-0.697068452835083
16,0.5883333333333334,438,479,-3.6774184703826904,-0.5652722716331482
17,0.6251041666666667,428,492,-3.7481625080108643,-0.4428812265396118
18,0.661875,416,508,-3.8330838680267334,-0.29223525524139404
19,0.6986458333333333,408,521,-3.889716386795044,-0.1698247492313385
20,0.7354166666666666,403,535,-3.9251248836517334,-0.03798961639404297
21,0.7721875,398,550,-3.9605517387390137,0.10327029228210449
22,0.8089583333333333,396,564,-3.9747462272644043,0.23511682450771332
23,0.8457291666666666,394,579,-3.9889581203460693,0.37638789415359497
24,0.8825,394,591,-3.989006280899048,0.4894059896469116
25,0.9192708333333334,396,606,-3.9749128818511963,0.6306774020195007
26,0.9560416666666667,400,617,-3.946643114089966,0.7342686653137207
27,0.9928125,408,632,-3.8900792598724365,0.8755188584327698
28,1.0295833333333333,413,644,-3.8547563552856445,0.9885277152061462
29,1.0663541666666667,420,657,-3.8052892684936523,1.110947847366333
30,1.103125,430,672,-3.734611749649048,1.2521932125091553
31,1.1398958333333333,468,711,-3.466008424758911,1.6193650960922241
32,1.1766666666666667,483,724,-3.3600010871887207,1.741746187210083
33,1.2134375,500,739,-3.2398858070373535,1.882964849472046
34,1.2502083333333334,517,750,-3.1197521686553955,1.9864968061447144
35,1.2869791666666666,536,762,-2.9855051040649414,2.099445104598999
36,1.32375,556,776,-2.8442273139953613,2.231245994567871
37,1.3605208333333334,579,789,-2.6817519664764404,2.353614091873169
38,1.3972916666666666,603,803,-2.5122387409210205,2.4854178428649902
39,1.4340625,626,815,-2.3497931957244873,2.598393201828003
40,1.4708333333333332,652,830,-2.166186571121216,2.7396535873413086
41,1.5076041666666666,680,843,-1.96844482421875,2.862072467803955
42,1.544375,707,854,-1.7777645587921143,2.965663433074951
43,1.5811458333333333,735,864,-1.5800212621688843,3.0598442554473877
44,1.6179166666666667,766,879,-1.3611156940460205,3.2012054920196533
45,1.6546874999999999,797,893,-1.1421985626220703,3.333181858062744
46,1.6914583333333333,831,907,-0.9020775556564331,3.4652042388916016
47,1.7282291666666667,860,919,-0.6972524523735046,3.5784194469451904
48,1.765,894,930,-0.45708292722702026,3.6822433471679688
49,1.8017708333333333,928,944,-0.21688076853752136,3.81447434425354
