frame,timestamp,u,v,x,y
11,0.3977401129943503,829,235,-0.9159272313117981,-2.862006425857544
12,0.43389830508474575,801,253,-1.1135988235473633,-2.692466974258423
13,0.47005649717514125,774,271,-1.3042020797729492,-2.5229620933532715
14,0.5062146892655367,750,288,-1.4736219644546509,-2.3628978729248047
15,0.5423728813559322,729,305,-1.6218594312667847,-2.2028496265411377
16,0.5785310734463277,708,324,-1.7700941562652588,-2.0239875316619873
17,0.6146892655367232,687,340,-1.9183355569839478,-1.8733826875686646
18,0.6508474576271186,675,357,-2.0030338764190674,-1.7133620977401733
19,0.6870056497175141,660,374,-2.1089165210723877,-1.5533530712127686
20,0.7231638418079096,644,390,-2.221864938735962,-1.4027637243270874
21,0.7593220338983051,632,406,-2.3065743446350098,-1.2521743774414062
22,0.7954802259887006,624,423,-2.3630430698394775,-1.0921728610992432
23,0.831638418079096,615,440,-2.426576852798462,-0.9321750998497009
24,0.8677966101694915,608,456,-2.4759936332702637,-0.7815899848937988
25,0.903954802259887,605,474,-2.497168779373169,-0.6121813654899597
26,0.9401129943502825,602,490,-2.5183489322662354,-0.461597204208374
27,0.976271186440678,601,506,-2.5254104137420654,-0.3110133409500122
28,1.0124293785310734,602,523,-2.5183537006378174,-0.15101836621761322
29,1.048587570621469,604,540,-2.5042402744293213,0.008976764976978302
30,1.0847457627118644,607,558,-2.4830703735351562,0.17838427424430847
31,1.12090395480226,613,572,-2.440718412399292,0.3101446330547333
32,1.1570621468926554,621,589,-2.384251356124878,0.4701405167579651
33,1.193220338983051,630,609,-2.3207311630249023,0.6583749651908875
34,1.2293785310734464,641,624,-2.2430872917175293,0.7995501160621643
35,1.265536723163842,684,675,-1.939576506614685,1.2795698642730713
36,1.3016949152542372,699,692,-1.833701491355896,1.4395893812179565
37,1.3378531073446327,720,708,-1.6854660511016846,1.5901978015899658
38,1.3740112994350282,739,726,-1.5513509511947632,1.7596477270126343
39,1.4101694915254237,762,745,-1.3889946937561035,1.9385244846343994
40,1.4463276836158192,787,761,-1.2125108242034912,2.0891685485839844
41,1.4824858757062147,814,778,-1.0219013690948486,2.249246835708618
42,1.5186440677966102,839,796,-0.8454037308692932,2.4187686443328857
43,1.5548022598870057,867,815,-0.647712767124176,2.597743511199951
44,1.5909604519774012,898,833,-0.42882102727890015,2.7673420906066895
45,1.6271186440677967,931,851,-0.19578061997890472,2.936997652053833
