frame,timestamp,u,v,x,y
41,1.4296925566343042,842,225,-0.8241485953330994,-2.9562156200408936
42,1.4645631067961165,800,250,-1.1206635236740112,-2.72072696685791
43,1.4994336569579287,761,269,-1.3959914445877075,-2.5418152809143066
44,1.534304207119741,723,290,-1.6642526388168335,-2.344104290008545
45,1.5691747572815533,687,311,-1.918397307395935,-2.146421432495117
46,1.6040453074433656,657,328,-2.1301960945129395,-1.9864124059677124
47,1.6389158576051779,625,349,-2.35612416267395,-1.7887606620788574
48,1.6737864077669902,595,366,-2.567964792251587,-1.6287773847579956
49,1.7086569579288025,571,385,-2.737443447113037,-1.4499566555023193
50,1.7435275080906147,546,404,-2.914015531539917,-1.271142840385437
51,1.778398058252427,523,420,-3.0765013694763184,-1.120568037033081
52,1.8132686084142393,501,438,-3.231951951980591,-0.9511590003967285
53,1.8481391585760516,483,455,-3.359166383743286,-0.7911497950553894
54,1.883009708737864,469,472,-3.4581284523010254,-0.6311259269714355
55,1.9178802588996764,452,488,-3.5783450603485107,-0.4805123507976532
56,1.9527508090614887,437,503,-3.6844542026519775,-0.33929887413978577
57,1.987621359223301,428,520,-3.748135566711426,-0.17923800647258759
58,2.022491909385113,415,535,-3.8401591777801514,-0.03799554705619812
59,2.0573624595469253,409,553,-3.8826608657836914,0.13150721788406372
60,2.0922330097087376,401,567,-3.9393420219421387,0.26335930824279785
61,2.12710355987055,396,583,-3.974806785583496,0.41405436396598816
62,2.161974110032362,390,615,-4.017469882965088,0.7154760956764221
63,2.1968446601941745,390,630,-4.017570495605469,0.8567748069763184
64,2.2317152103559867,392,647,-4.003534317016602,1.0169159173965454
65,2.2665857605177995,396,659,-3.9753003120422363,1.129947543144226
66,2.3014563106796118,401,675,-3.9400322437286377,1.2806676626205444
67,2.336326860841424,406,692,-3.9047932624816895,1.440824270248413
68,2.3711974110032363,414,704,-3.8482587337493896,1.5538455247879028
69,2.4060679611650486,423,723,-3.7847437858581543,1.7328429222106934
70,2.440938511326861,431,736,-3.7282519340515137,1.8553086519241333
71,2.475809061488673,445,751,-3.629307746887207,1.9965765476226807
72,2.5106796116504855,458,766,-3.5374672412872314,2.1378672122955322
73,2.5455501618122978,474,780,-3.4243907928466797,2.2697083950042725
74,2.58042071197411,489,798,-3.318476438522339,2.4393022060394287
75,2.6152912621359223,508,810,-3.184178113937378,2.552276134490967
76,2.6501618122977346,528,823,-3.0428431034088135,2.674687147140503
77,2.685032362459547,546,837,-2.915695905685425,2.806574821472168
78,2.719902912621359,569,852,-2.753208875656128,2.9478676319122314
79,2.7547734627831715,593,869,-2.5836992263793945,3.108060121536255
80,2.7896440129449838,614,882,-2.435365676879883,3.230562686920166
81,2.824514563106796,641,897,-2.244642972946167,3.371922016143799
82,2.8593851132686083,664,915,-2.0822534561157227,3.541707754135132
83,2.8942556634304206,693,930,-1.8774060010910034,3.6831576824188232
84,2.929126213592233,721,943,-1.6796084642410278,3.8057754039764404
85,2.963996763754045,752,958,-1.460622787475586,3.9473397731781006
86,2.9988673139158575,781,972,-1.2557547092437744,4.0795416831970215
