frame,timestamp,u,v,x,y
7,0.25092039800995025,815,240,-1.014769434928894,-2.814913749694824
8,0.28676616915422887,789,258,-1.1983165740966797,-2.6453840732574463
9,0.3226119402985075,763,271,-1.381866455078125,-2.5229759216308594
10,0.3584577114427861,740,287,-1.5442277193069458,-2.372328281402588
11,0.3943034825870647,716,301,-1.713653326034546,-2.240532159805298
12,0.4301492537313433,699,317,-1.8336515426635742,-2.0899055004119873
13,0.4659950248756219,679,333,-1.9748342037200928,-1.9392952919006348
14,0.5018407960199005,664,347,-2.0807197093963623,-1.807515263557434
15,0.5376865671641792,648,362,-2.19366717338562,-1.6663291454315186
16,0.5735323383084577,636,376,-2.2783758640289307,-1.5345561504364014
17,0.6093781094527363,625,391,-2.356024742126465,-1.393372654914856
18,0.645223880597015,616,404,-2.4195573329925537,-1.271016240119934
19,0.6810696517412935,608,421,-2.4760262966156006,-1.1110111474990845
20,0.7169154228855722,601,435,-2.5254414081573486,-0.9792452454566956
21,0.7527611940298508,596,448,-2.560737371444702,-0.8568916916847229
22,0.7886069651741294,594,463,-2.5748493671417236,-0.7157139182090759
23,0.824452736318408,593,480,-2.5819029808044434,-0.55571448802948
24,0.8602985074626865,592,491,-2.5889620780944824,-0.4521864950656891
25,0.8961442786069652,594,506,-2.574838876724243,-0.3110126852989197
26,0.9319900497512438,599,521,-2.5395359992980957,-0.16984055936336517
27,0.9678358208955224,603,536,-2.511298894882202,-0.02866900898516178
28,1.003681592039801,609,552,-2.4689443111419678,0.12191325426101685
29,1.0395273631840796,619,564,-2.398348569869995,0.23484693467617035
30,1.0753731343283583,629,581,-2.32776141166687,0.39483946561813354
31,1.111218905472637,640,594,-2.2501142024993896,0.517185628414154
32,1.1470646766169155,654,608,-2.151291608810425,0.6489432454109192
33,1.182910447761194,670,624,-2.0383553504943848,0.7995265126228333
34,1.2187562189054726,685,638,-1.9324781894683838,0.9312896132469177
35,1.2546019900497514,744,684,-1.5160213708877563,1.3642511367797852
36,1.29044776119403,765,700,-1.3677864074707031,1.5148603916168213
37,1.3262935323383085,790,711,-1.1913092136383057,1.6184074878692627
38,1.362139303482587,815,728,-1.0148274898529053,1.7784477472305298
39,1.3979850746268656,842,744,-0.8242191672325134,1.929086685180664
40,1.4338308457711444,868,759,-0.6406614780426025,2.0703248977661133
41,1.469676616915423,900,773,-0.41473329067230225,2.2021665573120117
42,1.5055223880597015,930,791,-0.20290623605251312,2.3717005252838135
43,1.54136815920398,962,806,0.02305992878973484,2.513016700744629
