frame,timestamp,u,v,x,y
23,0.8956060606060605,817,236,-1.000653624534607,-2.8525962829589844
24,0.9345454545454545,784,251,-1.2336313724517822,-2.711327075958252
25,0.9734848484848484,753,266,-1.4524834156036377,-2.5700836181640625
26,1.0124242424242424,723,283,-1.6642695665359497,-2.4100263118743896
27,1.0513636363636363,694,298,-1.8690037727355957,-2.2688233852386475
28,1.0903030303030303,668,313,-2.052561044692993,-2.127629280090332
29,1.1292424242424242,643,327,-2.229069232940674,-1.9958610534667969
30,1.1681818181818182,620,343,-2.39145827293396,-1.8452653884887695
31,1.207121212121212,600,353,-2.532691717147827,-1.7511628866195679
32,1.246060606060606,580,368,-2.6739213466644287,-1.6099870204925537
33,1.285,564,380,-2.786917209625244,-1.4970498085021973
34,1.323939393939394,548,395,-2.899914503097534,-1.3558695316314697
35,1.3628787878787878,535,408,-2.991734266281128,-1.2335126399993896
36,1.4018181818181819,524,421,-3.0694305896759033,-1.1111509799957275
37,1.4407575757575757,512,435,-3.154202699661255,-0.9793774485588074
38,1.4796969696969697,504,448,-3.2107160091400146,-0.8570088148117065
39,1.5186363636363636,499,459,-3.246034860610962,-0.7534627318382263
40,1.5575757575757576,485,520,-3.344940662384033,-0.17923499643802643
41,1.5965151515151514,489,534,-3.3166656494140625,-0.04744464159011841
42,1.6354545454545453,492,544,-3.2954652309417725,0.04668976366519928
43,1.6743939393939393,499,556,-3.2459967136383057,0.15964652597904205
44,1.7133333333333332,506,569,-3.1965391635894775,0.282014399766922
45,1.7522727272727272,517,579,-3.1188156604766846,0.3761340081691742
46,1.791212121212121,528,591,-3.0411083698272705,0.48907819390296936
47,1.830151515151515,540,603,-2.9563467502593994,0.602019190788269
48,1.869090909090909,555,616,-2.85040545463562,0.7243673205375671
49,1.908030303030303,573,627,-2.7232823371887207,0.8278826475143433
50,1.9469696969696968,590,638,-2.6032378673553467,0.931400716304779
51,1.9859090909090908,609,650,-2.469083309173584,1.0443309545516968
52,2.024848484848485,630,661,-2.3208155632019043,1.1478471755981445
53,2.0637878787878785,654,674,-2.1513800621032715,1.2701914310455322
54,2.1027272727272726,675,684,-2.003129482269287,1.364303469657898
55,2.1416666666666666,703,696,-1.8054673671722412,1.4772417545318604
56,2.1806060606060607,727,708,-1.6360481977462769,1.5901920795440674
57,2.2195454545454543,756,720,-1.4313312768936157,1.7031468152999878
58,2.2584848484848483,787,732,-1.2124931812286377,1.8161108493804932
59,2.2974242424242424,818,743,-0.9936498403549194,1.9196707010269165
60,2.3363636363636364,850,756,-0.7677392959594727,2.0420734882354736
61,2.37530303030303,882,768,-0.5418182015419006,2.1550753116607666
62,2.414242424242424,916,780,-0.30176347494125366,2.268095016479492
